"SAMPLEID","StationCode","SiteDate","PerSampID","RepNum","COUNT","BC_1.r","BC_2.r","BC_3.r","BC_4.r","BC_5.r","TROPHIC_1.r","TROPHIC_2.r","TROPHIC_3.r","TROPHIC_4.r","TROPHIC_5.r","TROPHIC_6.r","TROPHIC_7.r","SAP_1.r","SAP_2.r","SAP_3.r","SAP_4.r","SAP_5.r","PT_1.r","PT_2.r","PT_3.r","PT_4.r","PT_5.r","O_1.r","O_2.r","O_3.r","O_4.r","O_5.r","SALINITY_1.r","SALINITY_2.r","SALINITY_3.r","SALINITY_4.r","Bahls_1.r","Bahls_2.r","Bahls_3.r","LOW_P.r","HIGH_P.r","LOW_N.r","HIGH_N.r","BENTHIC_HABIT.r","SESTONIC_HABIT.r","N_FIXER.r","NON_N_FIXER.r","NON_MOTILE.r","WEAKLY_MOTILE.r","SLIGHTLY_MOTILE.r","MODERATELY_MOTILE.r","HIGHLY_MOTILE.r","VERY_SMALL.r","SMALL.r","MEDIUM.r","BIG.r","VERY_BIG.r","ACHNANTHIDIUM.r","ACHNANTHIDIAE.r","BACILLARIACEAE.r","NAVICULA.r","STALKED.r","ADNATE.r","HIGHLY_MOTILE.1.r","ARAPHID.r","CENTRIC.r"
"1019_0","WB0467","WB0467_2016_8_1",1019,0,1,6,12,14,16,7,3,3,5,7,13,2,8,11,14,11,5,1,4,5,2,4,2,16,7,11,2,1,8,30,6,1,5,10,13,4,11,11,16,55,2,1,57,11,3,11,20,13,17,23,8,2,0,3,8,12,4,3,7,29,9,2
"1020_0","WB0476","WB0476_2016_8_2",1020,0,1,12,15,12,16,5,4,4,2,10,13,2,8,7,19,6,4,1,3,2,1,6,3,13,10,6,2,1,7,36,4,0,4,9,13,7,11,13,16,61,2,4,60,11,2,17,24,10,19,25,12,4,0,2,11,9,7,6,11,27,9,2
"1020_1","WB0476","WB0476_2016_8_2_Rep",1020,1,1,8,11,14,14,7,2,2,3,8,15,2,7,5,18,9,5,1,4,3,1,6,3,10,9,10,2,1,4,33,3,1,5,7,15,6,8,13,14,53,3,2,55,15,2,14,17,9,20,20,8,3,0,1,9,9,5,3,8,23,13,2
"1021_0","MRW0205","MRW0205_2016_8_3",1021,0,1,4,8,15,18,4,1,2,5,6,13,3,6,4,18,9,4,1,4,2,4,6,1,12,7,9,3,0,5,31,4,0,5,13,11,5,13,8,18,47,3,1,50,9,2,9,20,11,16,19,8,3,0,1,3,10,8,2,3,27,7,2
"1022_0","WB0477","WB0477_2016_8_4",1022,0,1,2,13,17,15,6,1,2,2,7,15,2,7,4,18,7,4,1,3,2,2,7,2,10,8,8,2,1,4,29,5,1,4,10,11,6,10,11,17,53,1,2,52,8,2,11,23,10,15,21,8,3,0,2,5,9,8,5,7,28,7,1
"1023_0","WB0480","WB0480_2016_8_8",1023,0,1,2,12,14,13,7,1,3,2,7,15,2,6,4,22,5,4,1,2,2,0,8,4,11,15,5,1,1,3,33,6,0,4,10,13,6,12,9,18,50,1,3,48,5,4,10,17,15,13,14,10,3,0,1,2,14,7,6,4,28,4,1
"1024_0","WB0468","WB0468_2016_8_9",1024,0,1,4,6,9,10,4,1,1,2,5,12,2,5,4,11,7,2,1,2,2,1,3,0,6,8,6,1,0,4,23,3,0,4,6,8,2,8,6,8,35,0,3,32,4,1,6,14,11,9,13,8,1,0,0,2,10,5,2,3,21,4,0
"1025_0","WB0469","WB0469_2016_8_10",1025,0,1,3,5,11,17,5,1,2,3,3,14,1,3,6,12,9,3,1,2,3,1,5,2,9,7,6,3,1,5,24,3,1,5,8,9,3,11,4,13,40,3,2,41,5,2,7,15,14,9,19,6,1,0,1,3,15,6,2,4,30,3,2
"1026_0","WB0478","WB0478_2016_8_22",1026,0,1,5,8,17,17,6,2,3,2,9,15,2,8,5,18,9,5,1,3,1,1,8,2,13,9,8,3,0,6,33,5,0,5,9,14,7,9,10,16,54,0,2,52,6,3,12,25,8,18,22,8,3,0,2,7,9,6,5,7,28,6,0
"1027_0","SR0099","SR0099_2016_8_23",1027,0,1,5,4,6,2,0,2,1,3,1,2,0,3,2,7,2,0,0,0,1,0,2,1,7,1,2,0,0,3,9,0,0,0,3,5,5,1,7,2,16,0,0,17,4,2,4,6,1,6,7,1,1,0,1,3,1,2,0,3,5,4,0
"1027_1","SR0099","SR0099_2016_8_23_Rep",1027,1,1,6,7,5,1,1,3,3,1,1,3,1,3,5,6,2,0,1,1,1,0,2,0,9,1,2,0,0,5,10,0,0,1,3,4,4,2,6,3,19,0,1,19,6,2,4,7,1,8,7,4,0,0,1,4,1,1,2,5,7,6,0
"1028_0","SR0098","SR0098_2016_8_24",1028,0,1,9,9,11,3,1,3,4,4,1,5,0,6,7,10,4,0,0,0,2,0,3,1,13,2,4,0,0,8,16,1,0,0,6,11,8,3,11,3,31,3,0,34,12,4,7,7,5,13,9,7,1,0,1,6,5,2,3,7,10,11,1
"1029_0","SR0097","SR0097_2016_8_24",1029,0,1,8,10,13,5,2,4,5,3,3,6,1,5,8,10,3,3,1,2,2,0,3,3,14,2,5,1,0,5,21,2,0,2,7,12,7,5,9,7,38,1,1,38,8,4,6,15,6,13,15,4,1,0,1,6,6,2,6,6,13,8,0
"1030_0","MRW0206","MRW0206_2016_9_7",1030,0,1,8,9,8,7,1,1,5,2,4,3,1,4,5,6,4,1,1,1,2,1,2,1,9,1,5,0,0,2,20,1,0,1,5,7,6,2,7,6,32,1,0,34,8,3,7,12,4,10,15,6,1,0,2,7,4,3,2,7,12,8,0
"1030_1","MRW0206","MRW0206_2016_9_7_Rep",1030,1,1,14,7,10,5,0,4,4,4,4,4,0,7,8,12,3,1,0,0,1,0,4,2,14,3,4,0,0,5,22,0,0,0,5,13,7,1,9,5,35,1,0,36,8,2,12,11,3,14,13,6,1,0,2,9,3,2,5,7,10,8,0
"1031_0","MRW0204","MRW0204_2016_9_8",1031,0,1,12,6,8,9,2,5,1,4,2,8,1,6,9,10,6,2,0,1,4,0,3,1,13,4,5,1,0,6,19,2,0,1,4,13,6,4,9,9,35,2,0,36,9,3,12,10,3,16,12,5,2,0,1,9,2,3,1,9,8,8,1
"1032_0","wb0472","wb0472_2016_9_12",1032,0,1,9,7,11,30,13,1,2,2,6,28,4,6,3,18,15,8,2,5,4,5,5,2,9,11,17,6,1,5,35,12,3,10,19,8,2,26,7,27,71,3,5,69,8,2,13,31,20,13,22,21,4,0,1,4,18,11,3,6,50,5,3
"1033_0","WB0474","WB0474_2016_9_13",1033,0,1,3,6,9,12,3,0,3,2,4,11,2,3,5,14,3,3,1,3,1,0,7,3,9,10,2,2,0,1,23,3,0,3,7,9,5,9,5,12,32,0,2,30,2,3,8,12,7,10,11,5,2,0,2,3,7,5,3,5,17,2,0
"1034_0","WB0471","WB0471_2016_9_20",1034,0,1,6,10,11,18,6,0,2,1,10,18,2,5,5,17,8,3,1,2,3,0,8,2,8,15,8,0,1,3,32,4,2,2,10,14,8,11,10,14,47,4,4,48,13,2,10,18,9,14,18,10,6,0,1,4,10,6,3,6,25,10,3
"1035_0","SR0094","SR0094_2016_9_21",1035,0,1,5,7,12,13,4,0,4,1,7,11,1,4,1,16,4,2,1,1,1,0,6,4,6,10,5,0,0,2,24,2,0,1,7,13,8,5,9,10,40,0,3,37,4,3,8,20,5,9,16,7,5,0,1,4,6,7,5,6,19,4,0
"1036_0","NGP0258","NGP0258_2016_7_12",1036,0,1,1,5,12,18,5,1,2,1,3,18,1,8,1,17,10,3,1,2,3,1,7,2,9,8,7,1,1,2,28,4,1,4,9,12,6,10,8,17,40,2,1,41,7,2,9,15,9,9,19,8,3,0,2,4,8,8,5,6,20,5,2
"1036_1","NGP0258","NGP0258_2016_7_12_Rep",1036,1,1,1,3,15,17,6,1,2,2,5,16,2,7,2,19,8,3,1,2,2,1,8,2,10,11,5,0,1,2,29,4,0,4,10,13,5,10,8,16,41,2,1,42,7,2,10,15,9,10,18,9,3,0,2,3,8,6,6,5,22,5,2
"1037_0","SR0102","SR0102_2016_7_13",1037,0,1,7,10,13,14,5,2,3,4,8,11,2,7,5,21,4,3,1,2,1,1,7,2,12,12,4,0,1,6,31,3,0,5,7,15,3,7,7,13,54,1,2,54,8,2,18,18,10,17,19,9,3,0,2,8,9,5,4,8,25,7,1
"1038_0","NGP0259","NGP0259_2016_8_1",1038,0,1,1,4,10,13,5,0,2,1,1,16,2,4,0,10,8,5,1,3,4,1,6,2,5,6,8,1,1,1,20,4,0,3,7,7,4,9,5,15,32,1,0,33,4,2,11,9,7,8,16,6,0,0,1,4,7,4,5,5,15,3,1
"1039_0","NGP0257","NGP0257_2016_8_2",1039,0,1,4,10,17,13,5,1,3,1,10,13,2,5,2,19,6,4,1,2,2,0,10,3,9,14,6,0,1,3,32,4,1,2,10,18,10,7,12,13,50,1,3,48,9,4,11,19,8,11,20,10,6,0,1,3,9,6,6,5,24,8,1
"1040_0","WB0484","WB0484_2016_8_8",1040,0,1,0,2,7,7,4,0,1,0,2,8,1,4,0,8,6,2,1,1,2,1,4,0,3,4,4,2,1,0,14,3,1,3,5,4,1,6,2,10,21,1,0,22,4,1,6,4,7,4,9,3,0,0,1,2,6,2,2,3,11,3,1
"1041_0","SR0101","SR0101_2016_8_10",1041,0,1,0,7,10,17,8,0,3,2,3,19,2,3,1,13,12,3,1,2,4,3,8,1,6,6,14,0,1,2,23,6,2,4,16,10,6,12,6,19,42,2,0,44,7,2,8,14,13,7,17,9,3,0,1,3,13,7,4,5,25,5,2
"1042_0","WHP0062","WHP0062_2016_8_16",1042,0,1,0,2,12,14,5,0,1,1,4,13,2,4,1,16,8,2,1,2,4,1,8,4,4,12,7,0,0,1,26,2,0,2,6,12,5,6,3,15,32,2,0,34,3,2,9,10,10,5,13,7,4,0,1,3,10,6,4,5,21,2,1
"1042_1","WHP0062","WHP0062_2016_8_16_Rep",1042,1,1,0,5,9,13,4,1,0,1,2,12,2,6,0,14,7,3,1,3,3,0,6,4,7,7,5,1,0,1,19,4,0,4,4,8,3,7,6,15,31,0,0,31,1,2,10,10,8,10,12,5,2,0,2,3,8,5,4,5,17,1,0
"1043_0","SR0100","SR0100_2016_8_22",1043,0,1,2,7,8,11,4,0,2,0,5,11,1,3,2,11,4,2,1,1,1,0,7,1,5,8,5,0,0,2,19,3,1,2,6,11,6,6,5,11,32,0,3,29,3,2,7,14,6,7,11,7,4,0,1,2,7,6,4,4,17,2,1
"1044_0","WB0482","WB0482_2016_8_23",1044,0,1,2,10,13,21,12,1,3,1,6,23,2,5,5,18,12,6,1,3,3,3,6,3,11,14,8,4,1,3,35,10,3,9,11,12,8,17,6,21,58,3,0,61,10,4,9,18,20,9,23,15,2,0,1,2,17,12,4,3,39,9,1
"1045_0","WB0483","WB0483_2016_8_24",1045,0,1,2,6,11,15,5,1,3,1,4,16,2,3,2,12,11,4,1,2,5,0,8,2,6,11,9,1,0,3,25,3,0,4,8,12,6,9,8,16,38,1,2,37,3,4,11,15,6,11,13,9,4,0,1,4,8,5,4,6,20,2,1
"1046_0","NGP0260","NGP0260_2016_10_10",1046,0,1,4,3,8,17,5,0,3,0,4,15,2,3,1,17,7,1,1,2,2,1,8,3,4,11,6,2,0,4,23,5,1,4,7,10,3,11,4,14,39,0,0,39,3,1,12,13,10,9,14,9,3,0,1,6,7,8,5,6,21,2,1
"1047_0","WHP0059","WHP0059_2016_7_19",1047,0,1,1,8,10,20,9,1,0,2,4,22,2,6,4,18,10,6,1,4,2,2,8,3,11,9,10,4,1,2,28,9,1,7,9,13,3,20,8,26,51,1,1,51,5,3,10,20,14,12,20,12,1,0,3,4,13,6,7,5,30,4,1
"1048_0","WHP0060","WHP0060_2016_7_21",1048,0,1,0,7,9,13,8,1,0,1,4,16,2,3,5,11,8,5,1,4,2,1,5,3,9,4,8,4,1,1,22,6,1,7,7,7,5,13,7,17,40,2,0,42,7,3,6,18,9,11,21,4,1,0,2,2,8,5,6,3,22,5,2
"1049_0","WHP0055","WHP0055_2016_7_27",1049,0,1,6,19,17,20,10,2,3,2,10,20,2,4,9,20,8,3,2,2,2,2,8,5,19,12,6,1,1,7,35,8,2,4,16,15,11,16,15,17,70,2,4,68,11,2,13,32,14,15,22,20,2,0,2,3,14,9,7,5,43,9,2
"1050_0","SR0088","SR0088_2016_7_28",1050,0,1,1,8,8,17,6,0,1,2,4,18,2,5,1,13,12,4,1,3,5,1,5,1,6,8,10,1,1,1,30,3,0,3,8,11,4,11,9,17,40,1,3,38,4,1,10,18,9,8,17,7,5,0,2,5,9,7,6,7,20,3,1
"1051_0","WHP0057","WHP0057_2016_8_1",1051,0,1,3,12,9,15,4,1,2,1,7,13,0,5,2,19,6,1,0,0,2,1,7,6,7,10,8,0,0,3,27,2,1,1,7,11,8,5,10,15,44,0,1,43,3,2,11,21,8,11,21,7,2,0,2,4,8,8,8,6,23,3,0
"1052_0","WHP0058","WHP0058_2016_8_2",1052,0,1,2,14,17,17,5,3,3,1,8,15,2,6,5,22,8,3,1,3,2,1,10,5,14,13,8,1,0,3,33,6,0,4,11,14,8,11,11,18,60,0,1,59,7,2,14,29,9,13,22,15,3,0,2,4,10,10,8,6,33,7,0
"1096_0","WB0490","WB0490_2017_7_17",1096,0,1,0,3,8,12,4,1,0,0,3,12,2,4,0,12,7,4,1,4,2,1,7,2,5,7,4,3,0,1,18,4,0,5,6,5,2,10,2,17,30,0,0,30,2,1,11,10,6,6,14,3,3,0,1,3,6,7,5,5,15,2,0
"1096_1","WB0490","WB0490_2017_7_17_Rep",1096,1,1,0,3,5,12,5,2,0,0,3,11,2,2,1,12,6,2,1,3,2,1,6,4,6,7,2,2,0,1,15,3,0,4,7,5,2,9,2,14,28,0,0,28,1,1,7,11,8,7,9,3,3,0,1,1,8,7,5,2,18,1,0
"1097_0","WB0492","WB0492_2017_7_18",1097,0,1,1,5,4,15,4,2,1,1,2,12,2,3,2,13,5,2,1,3,2,1,5,7,6,6,4,2,0,2,21,2,0,4,7,8,4,9,3,13,31,0,0,31,2,1,8,10,10,5,15,3,3,0,1,2,7,5,6,2,19,2,0
"1098_0","WB0443","WB0443_2017_7_19",1098,0,1,0,6,4,12,3,1,1,1,3,8,3,3,1,9,6,2,2,3,2,1,6,1,5,5,4,2,0,2,17,1,1,4,6,8,4,7,4,13,26,0,0,26,1,2,10,9,4,6,12,4,2,0,1,2,3,5,4,3,11,1,0
"1099_0","WB0491","WB0491_2017_7_20",1099,0,1,2,6,11,13,5,2,1,3,4,10,2,6,3,15,7,2,1,2,2,0,7,3,10,7,6,1,0,5,20,4,0,3,5,12,4,7,4,14,37,0,0,37,5,2,9,13,8,10,14,6,4,0,1,3,7,7,4,4,19,5,0
"1100_0","SR0104","SR0104_2017_8_28",1100,0,1,8,10,11,11,5,4,2,2,5,8,2,6,7,13,6,3,1,3,4,0,5,3,11,6,6,2,0,5,27,3,0,5,7,11,10,7,13,12,50,2,0,51,12,3,13,15,9,17,17,6,3,0,2,6,8,7,3,7,22,11,1
"1101_0","SR0107","SR0107_2017_8_29",1101,0,1,3,10,9,9,3,2,3,2,3,7,2,5,4,9,6,3,1,2,3,0,3,2,6,6,6,1,0,3,22,1,0,4,6,10,7,6,9,8,37,0,2,35,5,3,9,12,8,5,14,8,2,1,1,5,7,6,4,4,17,5,0
"1102_0","SR0106","SR0106_2017_8_30",1102,0,1,2,9,11,7,5,2,3,2,2,7,2,4,1,10,5,4,1,3,2,1,3,2,5,5,5,1,0,3,21,1,0,4,6,10,7,6,8,10,34,2,1,35,6,3,6,13,8,6,14,7,2,1,1,3,8,3,5,3,16,5,1
"1102_1","SR0106","SR0106_2017_8_30_Rep",1102,1,1,3,5,11,8,3,2,2,2,1,7,2,5,2,9,5,3,1,2,2,0,4,2,5,5,6,0,0,3,18,0,0,3,5,8,6,4,6,9,31,0,0,31,4,3,8,11,5,4,14,7,1,1,1,5,5,3,6,5,9,4,0
"1103_0","sr0105","sr0105_2017_8_31",1103,0,1,7,6,10,11,3,4,1,3,4,8,1,4,7,12,5,1,1,1,4,0,5,2,9,5,6,1,0,5,23,2,0,3,7,8,6,7,8,11,40,2,0,42,7,3,9,12,11,9,17,5,4,0,1,6,10,6,2,5,19,6,1
"1104_0","SR0108","SR0108_2017_8_31",1104,0,1,4,8,10,7,0,1,2,2,2,7,0,5,4,10,3,1,0,0,2,0,5,1,8,2,5,0,0,4,15,1,0,0,4,9,3,4,6,9,29,1,1,29,6,3,8,10,3,4,14,5,3,1,1,5,3,1,7,5,7,5,1
"1105_0","SRI8","SRI8_2017_9_7",1105,0,1,5,3,9,10,2,2,1,4,3,8,1,5,3,14,4,3,0,2,3,1,5,3,6,5,5,3,0,5,20,2,0,3,6,11,5,6,5,12,30,3,0,33,6,2,7,11,7,6,14,5,2,0,1,4,6,4,3,4,14,5,1
"1106_0","WB0302","WB0302_2017_11_6",1106,0,1,4,2,8,16,5,2,0,3,2,12,4,3,5,10,7,5,1,4,3,1,5,1,7,5,7,3,1,4,23,4,0,4,10,10,2,11,2,16,30,7,0,37,8,2,9,11,7,6,19,5,5,0,1,4,4,7,2,5,19,1,7
"1107_0","WB0311","WB0311_2017_11_6",1107,0,1,0,3,6,12,4,0,1,1,1,12,1,3,0,10,5,4,0,2,3,0,6,3,5,5,5,3,0,1,17,2,0,3,4,7,5,8,4,14,23,1,0,24,2,3,7,8,4,7,11,2,3,0,1,3,3,4,5,4,11,1,1
"1108_0","WB0307","WB0307_2017_11_7",1108,0,1,1,2,7,14,5,0,1,1,2,14,1,4,0,11,9,4,0,1,4,0,8,2,5,7,7,2,1,1,20,5,0,2,8,10,4,8,4,15,28,2,0,30,4,4,8,8,6,6,12,6,4,0,1,3,4,6,3,5,15,2,2
"1109_0","MRW4","MRW4_2017_9_18",1109,0,1,4,5,10,3,2,1,2,2,4,5,0,2,3,11,1,0,0,0,0,0,4,2,7,5,2,0,0,1,15,0,0,1,3,7,7,2,6,4,25,2,0,27,7,2,8,9,1,6,11,2,3,0,3,3,1,3,5,4,9,7,0
"1110_0","WB0452","WB0452_2017_9_19",1110,0,1,10,8,18,9,4,3,2,2,10,8,1,8,11,18,6,2,0,1,1,1,6,3,15,11,5,1,0,6,33,5,1,2,7,17,8,8,10,12,53,3,1,55,13,2,16,15,11,22,21,7,1,0,3,11,10,5,1,10,23,12,1
"1111_0","MRW50","MRW50_2017_9_19",1111,0,1,10,11,18,10,3,3,4,4,7,11,1,6,8,19,7,3,0,1,2,1,7,4,14,9,6,2,0,5,31,5,0,3,9,14,7,7,8,15,55,3,0,58,13,5,17,16,7,22,23,4,2,0,3,9,6,7,6,9,22,12,1
"1112_0","WB0494","WB0494_2017_9_25",1112,0,1,9,9,16,13,4,1,3,5,8,15,1,6,7,19,9,3,0,2,3,0,6,5,14,14,6,2,0,6,33,4,0,2,10,15,6,5,9,11,52,2,3,51,10,3,11,22,8,15,22,7,5,0,1,6,7,7,3,8,25,10,0
"1113_0","WB0453","WB0453_2017_9_20",1113,0,1,6,5,11,8,2,1,2,3,5,6,2,4,3,14,3,1,1,2,2,0,6,3,9,8,3,0,0,4,22,0,0,2,4,12,7,5,7,7,31,3,0,34,10,2,9,10,3,10,16,5,1,0,1,4,3,3,5,3,10,9,1
"1114_0","WB26","WB26_2017_9_26",1114,0,1,1,12,13,8,2,2,3,1,7,8,2,3,2,14,6,2,1,2,2,1,6,2,8,8,5,0,0,3,23,1,0,3,9,10,8,6,7,10,36,2,2,36,8,3,6,18,3,8,19,6,2,0,1,1,4,4,6,3,15,7,1
"1114_1","WB26","WB26_2017_9_26_Rep",1114,1,1,2,7,10,11,2,0,2,1,4,12,1,3,0,14,5,3,0,2,1,0,8,2,5,9,4,1,1,1,20,3,0,2,6,11,8,7,8,12,33,1,2,32,8,2,7,15,3,4,21,8,2,0,1,1,4,7,8,3,14,7,1
"1115_0","MRW0212","MRW0212_2017_8_23",1115,0,1,12,13,9,2,1,6,7,2,1,2,0,5,12,10,2,1,0,1,0,0,3,1,15,4,2,1,0,10,19,1,0,1,4,12,12,3,12,4,36,5,0,40,12,4,12,10,3,15,12,10,0,0,2,9,3,2,5,9,11,10,2
